"Part";"Value";"Device";"Package";"Description";"DIGIKEY";"PROD_ID";"SF_ID";"VALUE";
"C1";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";
"C2";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";
"C3";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";
"C4";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";
"C5";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";
"C6";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";
"C7";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";
"C8";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";
"C9";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";
"C10";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";
"C11";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";
"C12";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";
"C13";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";
"C14";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";
"C15";"";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";
"C16";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";
"C17";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";
"C18";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"CAP-12416";"";"0.1uF";
"C19";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";
"C20";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";
"C21";"";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";
"C22";"";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";
"C23";"";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";
"C24";"";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";
"C25";"";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";
"C26";"";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";
"C27";"";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";
"IF+";"LINX-SMA-EDGE-0.062";"LINX-SMA-EDGE-0.062";"CONSMA003.062";"CONN SMA JACK 50 OHM EDGE MNT";"CONSMA003.062-ND";"";"";"";
"IF-";"LINX-SMA-EDGE-0.062";"LINX-SMA-EDGE-0.062";"CONSMA003.062";"CONN SMA JACK 50 OHM EDGE MNT";"CONSMA003.062-ND";"";"";"";
